genus,age,latitude
crepidula,Pleistocene,27.7009
noetia,Pleistocene,27.7009
noetia,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
mulinia,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
noetia,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
noetia,Pleistocene,27.7009
noetia,Pleistocene,27.7009
mulinia,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
parvilucina,Pleistocene,27.7009
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
crepidula,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
parvilucina,Pleistocene,27.692967
noetia,Pleistocene,27.7009
crepidula,Pleistocene,27.7009
chama,Pleistocene,26.472352
chama,Pleistocene,26.472352
crepidula,Pleistocene,26.472352
crepidula,Pleistocene,26.472352
