genus,age,latitude
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.366642
astarte,Pliocene,27.366642
astarte,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
noetia,Pliocene,27.366642
parvilucina,Pliocene,27.366642
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
astarte,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
noetia,Pliocene,27.366642
noetia,Pliocene,27.366642
noetia,Pliocene,27.366642
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
cyclocardia,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
crepidula,Pliocene,27.366642
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
crepidula,Pliocene,27.361199
mulinia,Pliocene,27.361199
chama,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chama,Pliocene,27.361199
crepidula,Pliocene,27.361199
mulinia,Pliocene,27.361199
crepidula,Pliocene,27.361199
cyclocardia,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
astarte,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
noetia,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
chama,Pliocene,27.366642
noetia,Pliocene,27.366642
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,25.385039
chama,Pliocene,25.385039
chama,Pliocene,25.385039
crepidula,Pliocene,25.385039
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.361199
noetia,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
astarte,Pliocene,27.366642
astarte,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
chama,Pliocene,27.366642
noetia,Pliocene,27.366642
mulinia,Pliocene,27.366642
chama,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,26.878706
crepidula,Pliocene,26.878706
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.366642
mulinia,Pliocene,26.878706
crepidula,Pliocene,26.878706
mulinia,Pliocene,27.361199
chama,Pliocene,25.7655
cyclocardia,Pliocene,27.361199
crepidula,Pliocene,25.7655
crepidula,Pliocene,25.7655
chesapecten,Pliocene,27.366642
astarte,Pliocene,27.366642
astarte,Pliocene,26.285328
crepidula,Pliocene,26.285328
astarte,Pliocene,26.285328
crepidula,Pliocene,26.285328
cyclocardia,Pliocene,27.361199
astarte,Pliocene,27.361199
astarte,Pliocene,30.4642
crepidula,Pliocene,26.285328
crepidula,Pliocene,26.285328
parvilucina,Pliocene,26.285328
parvilucina,Pliocene,26.285328
chama,Pliocene,26.285328
crepidula,Pliocene,27.361199
crepidula,Pliocene,27.361199
chama,Pliocene,27.361199
noetia,Pliocene,27.361199
cyclocardia,Pliocene,27.361199
chesapecten,Pliocene,27.361199
crepidula,Pliocene,27.4
mulinia,Pliocene,27.4
crepidula,Pliocene,27.4
crepidula,Pliocene,27.4
crepidula,Pliocene,27.4
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
crepidula,Pliocene,27.366642
mulinia,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.366642
mulinia,Pliocene,27.366642
astarte,Pliocene,27.366642
chama,Pliocene,27.366642
mulinia,Pliocene,27.361199
chama,Pliocene,27.361199
mulinia,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chama,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chesapecten,Pliocene,27.366642
chesapecten,Pliocene,27.361199
noetia,Pliocene,27.029723
crepidula,Pliocene,27.029723
spisula,Pliocene,27.029723
chama,Pliocene,27.053626
noetia,Pliocene,27.053626
crepidula,Pliocene,27.053626
crepidula,Pliocene,27.053626
chama,Pliocene,26.2759
chesapecten,Pliocene,26.914218
chama,Pliocene,26.2759
chama,Pliocene,26.2759
chama,Pliocene,26.2759
chama,Pliocene,26.2759
chesapecten,Pliocene,27.3583
crepidula,Pliocene,27.038599
noetia,Pliocene,27.038599
modiolus,Pliocene,27.038599
crepidula,Pliocene,27.038599
modiolus,Pliocene,27.361199
crepidula,Pliocene,27.361199
chama,Pliocene,27.361199
cyclocardia,Pliocene,27.366642
modiolus,Pliocene,27.366642
chama,Pliocene,27.3583
chama,Pliocene,27.3583
chama,Pliocene,27.3583
chama,Pliocene,27.3583
modiolus,Pliocene,27.038599
chama,Pliocene,27.038599
cyclocardia,Pliocene,27.361199
chesapecten,Pliocene,27.361199
mulinia,Pliocene,27.361199
chesapecten,Pliocene,27.361199
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
chama,Pliocene,27.366642
crepidula,Pliocene,27.366642
cyclocardia,Pliocene,27.366642
mulinia,Pliocene,27.366642
